metric,value
phase2_3_quality_rows_including_focus,29
phase2_4_context_rows,12
plot_ready_false,0
bad_label_order_rows,0
temporal_order_violations,0
structural_detected_order_violations,0
htf_lookahead_violations,0
abc_visual_status_plausible_abc,12
abc_visual_status_not_clean_abc,10
abc_visual_status_ambiguous_correction,9
abc_visual_status_clean_abc,7
abc_visual_status_visually_forced_abc,3
phase25_abc_policy_keep_experimental,13
phase25_abc_policy_usable_only_manual_review,12
phase25_abc_policy_exclude_from_phase25,8
phase25_abc_policy_usable_as_soft_context,8
