metric,value
contextual_corrections_rows,29
usable_contextual_correction,4
manual_contextual_review_only,8
experimental_unknown_parent,5
exclude_not_correction,12
direct_parent_candidate,8
distant_parent_candidate,8
htf_regime_context_only,6
no_clear_parent,7
correction_role_not_a_correction_impulsive_sequence,12
correction_role_possible_wave4_correction,8
correction_role_unknown_correction_role,7
correction_role_standalone_countertrend_correction,2
correction_type_not_a_correction,12
correction_type_zigzag_like,6
correction_type_ambiguous_correction,6
correction_type_not_classified,3
correction_type_flat_like,2
