example_id,group,symbol,timeframe,htf_timeframe,status,ltf_rows,htf_rows,htf_status,error
forex_eurusd_h1,Forex Majors,EURUSD.r,H1,H4,ok,320,520,ok,
forex_gbpusd_h1,Forex Majors,GBPUSD.r,H1,H4,ok,320,520,ok,
forex_usdjpy_h1,Forex Majors,USDJPY.r,H1,H4,error,0,0,not_available,insufficient SQL rows: 0
forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,H4,ok,320,520,ok,
forex_eurjpy_m30,Forex Majors,EURJPY.r,M30,H1,ok,320,520,ok,
forex_gbpjpy_m30,Forex Majors,GBPJPY.r,M30,H1,ok,320,520,ok,
metals_xauusd_m30,Metals,XAUUSD.r,M30,H1,ok,320,520,ok,
metals_xauusd_h1,Metals,XAUUSD.r,H1,H4,ok,320,520,ok,
metals_xagusd_h1,Metals,XAGUSD.r,H1,H4,ok,320,520,ok,
metals_xptusd_h1,Metals,XPTUSD,H1,H4,ok,300,520,ok,
metals_xpdusd_h1,Metals,XPDUSD,H1,H4,ok,300,520,ok,
index_aus200_m30,Index,AUS200,M30,H1,ok,320,520,ok,
index_aus200_h1,Index,AUS200,H1,H4,ok,320,520,ok,
index_hk50_m30,Index,HK50,M30,H1,ok,320,520,ok,
index_us500_m30,Index,US500,M30,H1,ok,320,520,ok,
index_us30_m30,Index,US30,M30,H1,ok,320,520,ok,
