candidate_id,timeframe_policy,swing_degree,abc_contextual_policy,abc_parent_required,abc_parent_status,abc_role_hypothesis,abc_should_enter_phase25_context,guided_quality_score,guided_quality_bucket,phase25_allowed_use,chart_path
abc_forex_audjpy_h4_intermediate_abc_002,primary_h4_d1,intermediate,usable_contextual_correction,yes,htf_regime_context_only,standalone_countertrend_correction,yes,98,high_quality_context,soft_context,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h4_025_abc_forex_audjpy_h4_intermediate_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,primary_h4_d1,intermediate,exclude_not_correction,yes,htf_regime_context_only,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_026_abc_metals_xagusd_h4_intermediate_abc_003.png
abc_index_aus200_h4_intermediate_abc_006,primary_h4_d1,intermediate,manual_contextual_review_only,yes,direct_parent_candidate,possible_wave4_correction,no,67,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_027_abc_index_aus200_h4_intermediate_abc_006.png
abc_forex_audjpy_h4_intermediate_abc_005,primary_h4_d1,intermediate,exclude_not_correction,yes,direct_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_028_abc_forex_audjpy_h4_intermediate_abc_005.png
abc_forex_audjpy_h4_minor_abc_002,primary_h4_d1,minor,manual_contextual_review_only,yes,htf_regime_context_only,standalone_countertrend_correction,no,61,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_029_abc_forex_audjpy_h4_minor_abc_002.png
abc_metals_xagusd_h4_minor_abc_003,primary_h4_d1,minor,exclude_not_correction,yes,htf_regime_context_only,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_030_abc_metals_xagusd_h4_minor_abc_003.png
abc_index_aus200_h4_minor_abc_005,primary_h4_d1,minor,exclude_not_correction,yes,htf_regime_context_only,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_031_abc_index_aus200_h4_minor_abc_005.png
abc_forex_audjpy_h4_minor_abc_005,primary_h4_d1,minor,exclude_not_correction,yes,direct_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_032_abc_forex_audjpy_h4_minor_abc_005.png
abc_forex_audjpy_h4_major_abc_003,primary_h4_d1,major,manual_contextual_review_only,yes,direct_parent_candidate,possible_wave4_correction,no,76,high_quality_context,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_033_abc_forex_audjpy_h4_major_abc_003.png
abc_metals_xagusd_h4_major_abc_003,primary_h4_d1,major,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_034_abc_metals_xagusd_h4_major_abc_003.png
abc_index_aus200_h4_major_abc_006,primary_h4_d1,major,manual_contextual_review_only,yes,direct_parent_candidate,possible_wave4_correction,no,62,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h4_035_abc_index_aus200_h4_major_abc_006.png
abc_forex_audjpy_h4_major_abc_005,primary_h4_d1,major,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_036_abc_forex_audjpy_h4_major_abc_005.png
abc_forex_audjpy_h1_intermediate_abc_009,auxiliary_h1_h4,intermediate,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_025_abc_forex_audjpy_h1_intermediate_abc_009.png
abc_metals_xagusd_h1_intermediate_abc_003,auxiliary_h1_h4,intermediate,usable_contextual_correction,yes,direct_parent_candidate,possible_wave4_correction,yes,86,high_quality_context,soft_context,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_026_abc_metals_xagusd_h1_intermediate_abc_003.png
abc_index_aus200_h1_intermediate_abc_004,auxiliary_h1_h4,intermediate,manual_contextual_review_only,yes,direct_parent_candidate,possible_wave4_correction,no,67,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_027_abc_index_aus200_h1_intermediate_abc_004.png
abc_forex_audjpy_h1_intermediate_abc_011,auxiliary_h1_h4,intermediate,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_028_abc_forex_audjpy_h1_intermediate_abc_011.png
abc_forex_audjpy_h1_minor_abc_007,auxiliary_h1_h4,minor,experimental_unknown_parent,yes,no_clear_parent,unknown_correction_role,no,34,experimental_only,experimental,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_029_abc_forex_audjpy_h1_minor_abc_007.png
abc_metals_xagusd_h1_minor_abc_002,auxiliary_h1_h4,minor,experimental_unknown_parent,yes,no_clear_parent,unknown_correction_role,no,39,experimental_only,experimental,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_030_abc_metals_xagusd_h1_minor_abc_002.png
abc_index_aus200_h1_minor_abc_006,auxiliary_h1_h4,minor,manual_contextual_review_only,yes,distant_parent_candidate,possible_wave4_correction,no,44,ambiguous_context,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_031_abc_index_aus200_h1_minor_abc_006.png
abc_forex_audjpy_h1_minor_abc_013,auxiliary_h1_h4,minor,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_032_abc_forex_audjpy_h1_minor_abc_013.png
abc_forex_audjpy_h1_major_abc_007,auxiliary_h1_h4,major,exclude_not_correction,yes,distant_parent_candidate,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h1_033_abc_forex_audjpy_h1_major_abc_007.png
abc_metals_xagusd_h1_major_abc_006,auxiliary_h1_h4,major,usable_contextual_correction,yes,distant_parent_candidate,possible_wave4_correction,yes,81,high_quality_context,soft_context,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_034_abc_metals_xagusd_h1_major_abc_006.png
abc_index_aus200_h1_major_abc_002,auxiliary_h1_h4,major,usable_contextual_correction,yes,direct_parent_candidate,possible_wave4_correction,yes,81,high_quality_context,soft_context,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\usable_contextual_correction_h1_035_abc_index_aus200_h1_major_abc_002.png
abc_forex_eurusd_h1_major_abc_002,auxiliary_h1_h4,major,manual_contextual_review_only,yes,no_clear_parent,unknown_correction_role,no,67,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_036_abc_forex_eurusd_h1_major_abc_002.png
abc_metals_xagusd_h4_intermediate_abc_003,primary_h4_d1,intermediate,exclude_not_correction,yes,htf_regime_context_only,not_a_correction_impulsive_sequence,no,0,exclude,exclude,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\exclude_not_correction_h4_metals_xagusd_h4_intermediate_abc_003.png
abc_forex_gbpusd_h1_minor_abc_002,auxiliary_h1_h4,minor,experimental_unknown_parent,yes,no_clear_parent,unknown_correction_role,no,34,experimental_only,experimental,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_minor_abc_002.png
abc_forex_gbpusd_h1_intermediate_abc_002,auxiliary_h1_h4,intermediate,experimental_unknown_parent,yes,no_clear_parent,unknown_correction_role,no,57,experimental_only,experimental,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_forex_gbpusd_h1_intermediate_abc_002.png
abc_forex_gbpusd_h1_major_abc_003,auxiliary_h1_h4,major,manual_contextual_review_only,yes,no_clear_parent,unknown_correction_role,no,67,usable_but_provisional,manual_review_only,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\manual_contextual_review_only_h1_forex_gbpusd_h1_major_abc_003.png
abc_metals_xagusd_h1_minor_abc_002,auxiliary_h1_h4,minor,experimental_unknown_parent,yes,no_clear_parent,unknown_correction_role,no,39,experimental_only,experimental,artifacts\wavecount\phase2_4_4_contextual_corrections_2026-05-24\charts\reviewed\experimental_unknown_parent_h1_metals_xagusd_h1_minor_abc_002.png
