source_phase,source_candidate_id,candidate_id,structure_type,review_category,group,symbol,timeframe,swing_degree,direction,timeframe_policy,degree_policy,phase25_allowed_use,final_phase23_decision,manual_visual_status,visual_quality_score,wave5_diagnostic,wave5_endpoint_status,proposed_endpoint_classification,future_more_extreme_found,post_wave5_extension_vs_wave5,partial123_diagnostic,partial123_status,live_state,wave3_too_weak,post_3_invalidates,post_3_confirms,context_review_status,trend_context_label,context_score,ema_usefulness,ewo_usefulness,htf_usefulness,phase25_rule_candidate,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_trend_state,htf_lookahead_safe,abc_contextual_policy,abc_parent_required,abc_parent_status,abc_role_hypothesis,abc_should_enter_phase25_context,context_must_not_rescue_bad_count,reviewed_chart_path,reviewed_context_chart_path,reviewed_chart_path_abc,guided_quality_score,guided_quality_bucket,score_reasons,score_penalties,ewo_wave_role_label,ewo_role_support,ewo_role_reasons,ewo_role_penalty,ema_context_label,ema_context_score_delta,htf_ltf_alignment_label,htf_context_score_delta,ready_for_phase251_search,phase251_reason,suggested_next_search_mode,chart_path
2.4.2_context_quality,impulse_forex_audjpy_h4_minor_impulse_005,impulse_forex_audjpy_h4_minor_impulse_005,impulse,impulse,Forex Majors,AUDJPY.r,H4,minor,bullish,primary_h4_d1,degree_too_micro,soft_context,keep_as_ambiguous_example,too_micro,3,clean_or_acceptable,premature_wave5_completion,premature_wave5_completion,True,0.6852976913730398,not_applicable,,,,,,context_explains_ambiguity,impulse_with_htf,65.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,htf_alignment_soft_filter,above_band,no_transition,0.9039857142857102,-0.0694142857142736,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png,,76,high_quality_context,H4/D1 primary base; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; wave5 clean/acceptable; context explains ambiguity,minor substructure only; too micro for primary count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.0694143",0,ema_supports_context,4,impulse_with_htf,6,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\001_impulse_forex_audjpy_h4_minor_impulse_005.png
2.4.2_context_quality,impulse_metals_xagusd_h4_minor_impulse_001,impulse_metals_xagusd_h4_minor_impulse_001,impulse,impulse,Metals,XAGUSD.r,H4,minor,bullish,primary_h4_d1,degree_too_micro,soft_context,keep_as_ambiguous_example,too_micro,3,clean_or_acceptable,premature_wave5_completion,premature_wave5_completion,True,2.4445416757821072,not_applicable,,,,,,context_explains_ambiguity,impulse_with_htf,85.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,htf_alignment_soft_filter,above_band,no_transition,3.563414285714288,0.4705285714285878,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png,,76,high_quality_context,H4/D1 primary base; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; wave5 clean/acceptable; context explains ambiguity,minor substructure only; too micro for primary count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=0.470529",0,ema_supports_context,4,impulse_with_htf,6,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\002_impulse_metals_xagusd_h4_minor_impulse_001.png
2.4.2_context_quality,impulse_index_hk50_h4_minor_impulse_012,impulse_index_hk50_h4_minor_impulse_012,impulse,impulse,Index,HK50,H4,minor,bullish,primary_h4_d1,minor_substructure_only,soft_context,keep_as_ambiguous_example,plausible_but_needs_review,3,clean_or_acceptable,premature_wave5_completion,premature_wave5_completion,True,0.687096142549442,not_applicable,,,,,,context_explains_ambiguity,impulse_with_htf,65.0,partially_useful,useful_for_momentum_phase,useful_regime_filter,ema_transition_support,above_band,no_transition,347.6657142857148,-13.307142857145664,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png,,82,high_quality_context,H4/D1 primary base; 2.3.4 ambiguous but useful; impulse candidate; EMA context +2: partially_useful; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role; wave5 clean/acceptable; context explains ambiguity,minor substructure only,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-13.3071",0,ema_partial_or_neutral,2,impulse_with_htf,6,no,No clear Phase 2.5.1 search use.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\h4_d1_reviewed\003_impulse_index_hk50_h4_minor_impulse_012.png
2.4.2_context_quality,impulse_forex_eurjpy_h4_minor_impulse_022,impulse_forex_eurjpy_h4_minor_impulse_022,impulse,impulse,Forex Majors,EURJPY.r,H4,minor,bullish,primary_h4_d1,minor_substructure_only,soft_context,keep_as_ambiguous_example,plausible_but_needs_review,2,endpoint_uncertain,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_should_not_rescue_count,impulse_with_htf,65.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,do_not_use_as_rule,above_band,no_transition,0.9125142857143088,-0.0924714285714003,positive,D1,bullish_alignment,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png,,23,exclude,H4/D1 primary base; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO partially supports role,minor substructure only; low visual quality 2; wave5 provisional: endpoint_uncertain; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=-0.0924714",0,ema_supports_context,4,impulse_with_htf,6,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\004_impulse_forex_eurjpy_h4_minor_impulse_022.png
2.4.2_context_quality,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse_forex_eurusd_h4_intermediate_impulse_007,impulse,impulse,Forex Majors,EURUSD.r,H4,intermediate,bearish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,visually_defensible,4,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_conflicts_but_explains,correction_against_htf,40.0,useful_quality_filter,useful_for_wave_role,useful_correction_context,ema_transition_support,below_band,no_transition,-0.0033714285714283,5.8142857142895465e-05,negative,D1,mixed_or_unclear,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 4; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: conflict_explained; useful_correction_context; EWO supports wave role; wave5 clean/acceptable,,ewo_impulse_momentum_context,supports_wave_role,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_wave_role; end_ewo_direction=negative; end_ewo_slope=5.81429e-05",0,ema_supports_context,6,conflict_explained,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\005_impulse_forex_eurusd_h4_intermediate_impulse_007.png
2.4.2_context_quality,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse_metals_xagusd_h4_intermediate_impulse_007,impulse,impulse,Metals,XAGUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,excellent_example,5,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_confirms_good_count,impulse_with_htf,80.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,htf_alignment_soft_filter;ewo_wave3_momentum_support,above_band,no_transition,10.028757142857144,0.2346285714285727,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 5; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; wave5 clean/acceptable; context confirms good count,,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=0.234629,0,ema_supports_context,6,impulse_with_htf,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\006_impulse_metals_xagusd_h4_intermediate_impulse_007.png
2.4.2_context_quality,impulse_index_aus200_h4_intermediate_impulse_015,impulse_index_aus200_h4_intermediate_impulse_015,impulse,impulse,Index,AUS200,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,excellent_example,5,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_misleading,impulse_with_htf,65.0,partially_useful,useful_for_divergence_or_wave5_loss,partially_useful,ewo_wave5_divergence_warning,above_band,no_transition,84.66285714285732,-2.0942857142854336,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\007_impulse_index_aus200_h4_intermediate_impulse_015.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png,,60,usable_but_provisional,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 5; impulse candidate; EMA context +2: partially_useful; EWO partially supports role; wave5 clean/acceptable,HTF context -4: conflict_suspicious; ; context_misleading; score capped because context is misleading/suspicious,ewo_wave5_divergence_warning,partially_supports,Existing 2.4.2 audit marked possible wave-5 momentum warning.; end_ewo_direction=positive; end_ewo_slope=-2.09429,0,ema_partial_or_neutral,2,conflict_suspicious,-4,manual_review,Useful as context but requires review or remains experimental.,search_auxiliary_substructure,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\007_impulse_index_aus200_h4_intermediate_impulse_015.png
2.4.2_context_quality,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse_forex_eurusd_h4_intermediate_impulse_012,impulse,impulse,Forex Majors,EURUSD.r,H4,intermediate,bullish,primary_h4_d1,intermediate_primary_candidate,candidate_structure,keep_as_good_example,visually_defensible,4,clean_or_acceptable,clean_or_unresolved_wave5_endpoint,candidate_impulse_provisional,False,,not_applicable,,,,,,context_confirms_good_count,impulse_with_htf,65.0,useful_quality_filter,useful_for_wave_role,useful_regime_filter,ema_transition_support;ewo_wave3_momentum_support,above_band,no_transition,0.0109169999999998,-0.0031077142857143,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png,,100,high_quality_context,H4/D1 primary base; intermediate primary degree; 2.3.4 keep_as_good_example; visual quality 4; impulse candidate; EMA context +6: useful_quality_filter; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; wave5 clean/acceptable; context confirms good count,,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_wave_role; end_ewo_direction=positive; end_ewo_slope=-0.00310771,0,ema_supports_context,6,impulse_with_htf,6,yes,High-quality H4/D1 intermediate impulse context.,search_h4_intermediate_impulse,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\008_impulse_forex_eurusd_h4_intermediate_impulse_012.png
2.4.2_context_quality,impulse_forex_eurusd_h4_major_impulse_011,impulse_forex_eurusd_h4_major_impulse_011,invalid_or_negative,impulse,Forex Majors,EURUSD.r,H4,major,bearish,primary_h4_d1,degree_too_micro,exclude,exclude_from_phase25_rules,visually_forced,2,endpoint_uncertain,premature_wave5_completion,premature_wave5_completion,True,0.8394415357766091,not_applicable,,,,,,context_should_not_rescue_count,correction_against_htf,60.0,useful_trend_context,useful_for_momentum_phase,useful_correction_context,do_not_use_as_rule,below_band,no_transition,-0.0083188571428574,-0.0010535714285717,negative,D1,mixed_or_unclear,True,,,,,,True,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\009_impulse_forex_eurusd_h4_major_impulse_011.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png,,0,exclude,H4/D1 primary base; major as context/higher degree; EMA context +4: useful_trend_context; HTF context +4: correction_against_htf; useful_correction_context; EWO partially supports role,too micro for primary count; 2.3.4 excluded from Phase 2.5; low visual quality 2; invalid_or_negative structure; wave5 provisional: endpoint_uncertain; context must not rescue this count; context_must_not_rescue_bad_count; score capped because context must not rescue the count,ewo_impulse_momentum_context,partially_supports,"Impulse has EWO context, but current artifacts do not expose per-leg thresholds.; useful_for_momentum_phase; end_ewo_direction=negative; end_ewo_slope=-0.00105357",0,ema_supports_context,4,correction_against_htf,4,no,Excluded by previous audit or guided score.,do_not_search,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\misleading_context_examples\009_impulse_forex_eurusd_h4_major_impulse_011.png
2.4.2_context_quality,impulse_metals_xpdusd_h4_major_impulse_001,impulse_metals_xpdusd_h4_major_impulse_001,impulse,impulse,Metals,XPDUSD,H4,major,bullish,primary_h4_d1,degree_too_micro,soft_context,keep_as_ambiguous_example,plausible_but_needs_review,3,endpoint_uncertain,premature_wave5_completion,premature_wave5_completion,True,0.6597019867549669,not_applicable,,,,,,context_explains_ambiguity,impulse_with_htf,85.0,useful_trend_context,useful_for_momentum_phase,useful_regime_filter,ewo_wave3_momentum_support,above_band,no_transition,79.59557142857147,58.90599999999995,positive,D1,bullish_alignment,True,,,,,,False,artifacts\wavecount\phase2_3_4_h4_d1_visual_closure_2026-05-23\charts\reviewed\010_impulse_metals_xpdusd_h4_major_impulse_001.png,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\010_impulse_metals_xpdusd_h4_major_impulse_001.png,,84,high_quality_context,H4/D1 primary base; major as context/higher degree; 2.3.4 ambiguous but useful; impulse candidate; EMA context +4: useful_trend_context; HTF context +6: impulse_with_htf; useful_regime_filter; EWO supports wave role; context explains ambiguity,too micro for primary count; wave5 provisional: endpoint_uncertain,ewo_wave3_momentum_support,supports_wave_role,Existing 2.4.2 audit marked EWO as wave-3 momentum support.; useful_for_momentum_phase; end_ewo_direction=positive; end_ewo_slope=58.906,0,ema_supports_context,4,impulse_with_htf,6,manual_review,Major can guide higher-degree context but should not dominate automatically.,search_higher_degree_major_context,C:\Users\ralr1\Desktop\CD\TFG\TFG-Raul_Rodriguez\artifacts\wavecount\phase2_4_2_context_quality_audit_2026-05-23\charts\best_context_examples\010_impulse_metals_xpdusd_h4_major_impulse_001.png
