example_id,group,symbol,timeframe,status,rows,first_time,last_time,raw_confirmed_pivots,degree_pivots,error
exp252_forex_eurusd_h4,Forex Majors,EURUSD.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,149,168,
exp252_forex_gbpusd_h4,Forex Majors,GBPUSD.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,150,170,
exp252_forex_usdjpy_h4,Forex Majors,USDJPY.r,H4,error,0,,,0,0,insufficient SQL rows: 0
exp252_forex_audjpy_h4,Forex Majors,AUDJPY.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,146,176,
exp252_forex_eurjpy_h4,Forex Majors,EURJPY.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,148,173,
exp252_forex_gbpjpy_h4,Forex Majors,GBPJPY.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,146,190,
exp252_metals_xauusd_h4,Metals,XAUUSD.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,133,161,
exp252_metals_xagusd_h4,Metals,XAGUSD.r,H4,ok,900,2025-08-15T08:00:00,2026-03-17T04:00:00,139,158,
exp252_metals_xptusd_h4,Metals,XPTUSD,H4,ok,900,2025-08-14T08:00:00,2026-03-17T04:00:00,154,172,
exp252_metals_xpdusd_h4,Metals,XPDUSD,H4,ok,900,2025-08-14T12:00:00,2026-03-17T04:00:00,179,209,
exp252_index_aus200_h4,Index,AUS200,H4,ok,900,2025-08-12T16:00:00,2026-03-17T04:00:00,163,185,
exp252_index_hk50_h4,Index,HK50,H4,ok,900,2025-07-30T16:00:00,2026-03-17T04:00:00,142,184,
exp252_index_us500_h4,Index,US500,H4,ok,900,2025-08-14T16:00:00,2026-03-17T04:00:00,152,180,
exp252_index_us30_h4,Index,US30,H4,ok,900,2025-08-14T12:00:00,2026-03-17T04:00:00,142,185,
