candidate_order,candidate_id,review_category,suggested_initial_label,review_label,reviewer_notes,visual_quality_score,should_keep_for_methodology,suggested_action,review_options,chart_path,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,failure_reasons,source_table,source_id,example_id,start_time,end_time
1,impulse_aux252b_forex_audjpy_h1_minor_impulse_007,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,Forex Majors,AUDJPY.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_007,aux252b_forex_audjpy_h1,2026-01-15 11:00:00,2026-01-19 01:00:00
2,impulse_aux252b_metals_xagusd_h1_minor_impulse_005,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,Metals,XAGUSD.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_metals_xagusd_h1_minor_impulse_005,aux252b_metals_xagusd_h1,2026-01-13 01:00:00,2026-01-15 01:00:00
3,impulse_aux252b_index_aus200_h1_minor_impulse_014,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_index_aus200_h1_minor_impulse_014,aux252b_index_aus200_h1,2026-01-16 04:00:00,2026-01-21 15:00:00
4,impulse_aux252b_forex_audjpy_h1_minor_impulse_016,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_016,aux252b_forex_audjpy_h1,2026-01-20 15:00:00,2026-01-22 09:00:00
5,impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_016,aux252b_forex_audjpy_h1,2026-01-27 15:00:00,2026-01-30 17:00:00
6,impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,Metals,XAGUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_metals_xagusd_h1_intermediate_impulse_036,aux252b_metals_xagusd_h1,2026-02-16 11:00:00,2026-02-18 01:00:00
7,impulse_aux252b_index_aus200_h1_intermediate_impulse_007,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,Index,AUS200,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_index_aus200_h1_intermediate_impulse_007,aux252b_index_aus200_h1,2026-01-13 17:00:00,2026-01-16 04:00:00
8,impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_022,aux252b_forex_audjpy_h1,2026-02-02 08:00:00,2026-02-04 14:00:00
9,impulse_aux252b_forex_audjpy_h1_major_impulse_006,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,Forex Majors,AUDJPY.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_006,aux252b_forex_audjpy_h1,2026-01-26 13:00:00,2026-01-30 17:00:00
10,impulse_aux252b_metals_xagusd_h1_major_impulse_025,impulse,visually_good_impulse,,,,,,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png,Metals,XAGUSD.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,,impulse_diagnostics,aux252b_metals_xagusd_h1_major_impulse_025,aux252b_metals_xagusd_h1,2026-02-17 17:00:00,2026-02-25 21:00:00
