example_id,group,symbol,timeframe,status,rows,first_time,last_time,raw_confirmed_pivots,degree_pivots,error
aux252b_forex_eurusd_h1,Forex Majors,EURUSD.r,H1,ok,1100,2026-01-12T14:00:00,2026-03-17T09:00:00,183,168,
aux252b_forex_gbpusd_h1,Forex Majors,GBPUSD.r,H1,ok,1100,2026-01-12T14:00:00,2026-03-17T09:00:00,188,160,
aux252b_forex_usdjpy_h1,Forex Majors,USDJPY.r,H1,error,0,,,0,0,insufficient SQL rows: 0
aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,ok,1100,2026-01-12T14:00:00,2026-03-17T09:00:00,192,201,
aux252b_forex_eurjpy_h1,Forex Majors,EURJPY.r,H1,ok,1100,2026-01-12T14:00:00,2026-03-17T09:00:00,185,158,
aux252b_forex_gbpjpy_h1,Forex Majors,GBPJPY.r,H1,ok,1100,2026-01-12T14:00:00,2026-03-17T09:00:00,176,169,
aux252b_metals_xauusd_h1,Metals,XAUUSD.r,H1,ok,1100,2026-01-08T10:00:00,2026-03-17T09:00:00,187,229,
aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,ok,1100,2026-01-08T10:00:00,2026-03-17T09:00:00,193,215,
aux252b_metals_xptusd_h1,Metals,XPTUSD,H1,ok,1100,2026-01-07T23:00:00,2026-03-17T09:00:00,193,222,
aux252b_metals_xpdusd_h1,Metals,XPDUSD,H1,ok,1100,2026-01-07T23:00:00,2026-03-17T09:00:00,193,222,
aux252b_index_aus200_h1,Index,AUS200,H1,ok,1100,2026-01-06T01:00:00,2026-03-17T09:00:00,183,208,
aux252b_index_hk50_h1,Index,HK50,H1,ok,1100,2025-12-29T21:00:00,2026-03-17T09:00:00,196,216,
aux252b_index_us500_h1,Index,US500,H1,ok,1100,2026-01-08T06:00:00,2026-03-17T09:00:00,180,207,
aux252b_index_us30_h1,Index,US30,H1,ok,1100,2026-01-08T06:00:00,2026-03-17T09:00:00,179,182,
