candidate_id,review_category,source_table,source_id,example_id,group,symbol,timeframe,swing_degree,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,start_time,end_time,failure_reasons,suggested_initial_label,review_options,chart_path,candidate_order
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_007,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,7,12,2026-01-15 11:00:00,2026-01-19 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,1
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_minor_impulse_005,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,5,10,2026-01-13 01:00:00,2026-01-15 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,2
impulse_aux252b_index_aus200_h1_minor_impulse_014,impulse,impulse_diagnostics,aux252b_index_aus200_h1_minor_impulse_014,aux252b_index_aus200_h1,Index,AUS200,H1,minor,bearish,strict_candidate_impulse,full_impulse_12345,14,19,2026-01-16 04:00:00,2026-01-21 15:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png,3
impulse_aux252b_forex_audjpy_h1_minor_impulse_016,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_minor_impulse_016,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2026-01-20 15:00:00,2026-01-22 09:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png,4
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_016,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,16,21,2026-01-27 15:00:00,2026-01-30 17:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,5
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_intermediate_impulse_036,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bearish,strict_candidate_impulse,full_impulse_12345,36,41,2026-02-16 11:00:00,2026-02-18 01:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,6
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,impulse,impulse_diagnostics,aux252b_index_aus200_h1_intermediate_impulse_007,aux252b_index_aus200_h1,Index,AUS200,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,7,12,2026-01-13 17:00:00,2026-01-16 04:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,7
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_intermediate_impulse_022,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,strict_candidate_impulse,full_impulse_12345,22,27,2026-02-02 08:00:00,2026-02-04 14:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,8
impulse_aux252b_forex_audjpy_h1_major_impulse_006,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_006,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,6,11,2026-01-26 13:00:00,2026-01-30 17:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,9
impulse_aux252b_metals_xagusd_h1_major_impulse_025,impulse,impulse_diagnostics,aux252b_metals_xagusd_h1_major_impulse_025,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bullish,strict_candidate_impulse,full_impulse_12345,25,30,2026-02-17 17:00:00,2026-02-25 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\010_impulse_aux252b_metals_xagusd_h1_major_impulse_025.png,10
impulse_aux252b_index_aus200_h1_major_impulse_028,impulse,impulse_diagnostics,aux252b_index_aus200_h1_major_impulse_028,aux252b_index_aus200_h1,Index,AUS200,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,28,33,2026-02-27 11:00:00,2026-03-05 21:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\011_impulse_aux252b_index_aus200_h1_major_impulse_028.png,11
impulse_aux252b_forex_audjpy_h1_major_impulse_017,impulse,impulse_diagnostics,aux252b_forex_audjpy_h1_major_impulse_017,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bearish,strict_candidate_impulse,full_impulse_12345,17,22,2026-02-09 01:00:00,2026-02-12 18:00:00,,visually_good_impulse,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\impulses\012_impulse_aux252b_forex_audjpy_h1_major_impulse_017.png,12
partial_123_aux252b_forex_audjpy_h1_intermediate_partial123_002,partial_123,partial_impulses,aux252b_forex_audjpy_h1_intermediate_partial123_002,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,2,5,2026-01-13 01:00:00,2026-01-14 07:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\013_partial_123_aux252b_forex_audjpy_h1_intermediate_partial123_002.png,13
partial_123_aux252b_metals_xagusd_h1_intermediate_partial123_001,partial_123,partial_impulses,aux252b_metals_xagusd_h1_intermediate_partial123_001,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,1,4,2026-01-08 16:00:00,2026-01-13 16:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\014_partial_123_aux252b_metals_xagusd_h1_intermediate_partial123_001.png,14
partial_123_aux252b_index_aus200_h1_intermediate_partial123_003,partial_123,partial_impulses,aux252b_index_aus200_h1_intermediate_partial123_003,aux252b_index_aus200_h1,Index,AUS200,H1,intermediate,bullish,partial_123_candidate,partial_impulse_123,3,6,2026-01-07 17:00:00,2026-01-13 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\015_partial_123_aux252b_index_aus200_h1_intermediate_partial123_003.png,15
partial_123_aux252b_forex_audjpy_h1_intermediate_partial123_005,partial_123,partial_impulses,aux252b_forex_audjpy_h1_intermediate_partial123_005,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bearish,partial_123_candidate,partial_impulse_123,5,8,2026-01-14 07:00:00,2026-01-19 01:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\016_partial_123_aux252b_forex_audjpy_h1_intermediate_partial123_005.png,16
partial_123_aux252b_forex_audjpy_h1_minor_partial123_002,partial_123,partial_impulses,aux252b_forex_audjpy_h1_minor_partial123_002,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,2,5,2026-01-13 01:00:00,2026-01-14 07:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\017_partial_123_aux252b_forex_audjpy_h1_minor_partial123_002.png,17
partial_123_aux252b_metals_xagusd_h1_minor_partial123_001,partial_123,partial_impulses,aux252b_metals_xagusd_h1_minor_partial123_001,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,partial_123_candidate,partial_impulse_123,1,4,2026-01-08 16:00:00,2026-01-12 19:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\018_partial_123_aux252b_metals_xagusd_h1_minor_partial123_001.png,18
partial_123_aux252b_index_aus200_h1_minor_partial123_007,partial_123,partial_impulses,aux252b_index_aus200_h1_minor_partial123_007,aux252b_index_aus200_h1,Index,AUS200,H1,minor,bullish,partial_123_candidate,partial_impulse_123,7,10,2026-01-13 17:00:00,2026-01-15 02:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\019_partial_123_aux252b_index_aus200_h1_minor_partial123_007.png,19
partial_123_aux252b_forex_audjpy_h1_minor_partial123_007,partial_123,partial_impulses,aux252b_forex_audjpy_h1_minor_partial123_007,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bearish,partial_123_candidate,partial_impulse_123,7,10,2026-01-15 11:00:00,2026-01-16 17:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\020_partial_123_aux252b_forex_audjpy_h1_minor_partial123_007.png,20
partial_123_aux252b_forex_audjpy_h1_major_partial123_001,partial_123,partial_impulses,aux252b_forex_audjpy_h1_major_partial123_001,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bearish,partial_123_candidate,partial_impulse_123,1,4,2026-01-14 07:00:00,2026-01-19 01:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\021_partial_123_aux252b_forex_audjpy_h1_major_partial123_001.png,21
partial_123_aux252b_metals_xagusd_h1_major_partial123_002,partial_123,partial_impulses,aux252b_metals_xagusd_h1_major_partial123_002,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,major,bearish,partial_123_candidate,partial_impulse_123,2,5,2026-01-15 01:00:00,2026-01-16 17:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\022_partial_123_aux252b_metals_xagusd_h1_major_partial123_002.png,22
partial_123_aux252b_index_aus200_h1_major_partial123_003,partial_123,partial_impulses,aux252b_index_aus200_h1_major_partial123_003,aux252b_index_aus200_h1,Index,AUS200,H1,major,bullish,partial_123_candidate,partial_impulse_123,3,6,2026-01-07 17:00:00,2026-01-16 04:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\023_partial_123_aux252b_index_aus200_h1_major_partial123_003.png,23
partial_123_aux252b_forex_audjpy_h1_major_partial123_006,partial_123,partial_impulses,aux252b_forex_audjpy_h1_major_partial123_006,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,major,bullish,partial_123_candidate,partial_impulse_123,6,9,2026-01-26 13:00:00,2026-01-29 07:00:00,,visually_good_partial_123,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\partials\024_partial_123_aux252b_forex_audjpy_h1_major_partial123_006.png,24
abc_aux252b_forex_audjpy_h1_intermediate_abc_002,abc,candidate_counts,aux252b_forex_audjpy_h1_intermediate_abc_002,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bullish,candidate_abc,abc,2,5,2026-01-13 01:00:00,2026-01-14 07:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\025_abc_aux252b_forex_audjpy_h1_intermediate_abc_002.png,25
abc_aux252b_metals_xagusd_h1_intermediate_abc_003,abc,candidate_counts,aux252b_metals_xagusd_h1_intermediate_abc_003,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,intermediate,bullish,candidate_abc,abc,3,6,2026-01-13 01:00:00,2026-01-15 01:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\026_abc_aux252b_metals_xagusd_h1_intermediate_abc_003.png,26
abc_aux252b_index_aus200_h1_intermediate_abc_003,abc,candidate_counts,aux252b_index_aus200_h1_intermediate_abc_003,aux252b_index_aus200_h1,Index,AUS200,H1,intermediate,bullish,candidate_abc,abc,3,6,2026-01-07 17:00:00,2026-01-13 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\027_abc_aux252b_index_aus200_h1_intermediate_abc_003.png,27
abc_aux252b_forex_audjpy_h1_intermediate_abc_005,abc,candidate_counts,aux252b_forex_audjpy_h1_intermediate_abc_005,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,intermediate,bearish,candidate_abc,abc,5,8,2026-01-14 07:00:00,2026-01-19 01:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\028_abc_aux252b_forex_audjpy_h1_intermediate_abc_005.png,28
abc_aux252b_forex_audjpy_h1_minor_abc_002,abc,candidate_counts,aux252b_forex_audjpy_h1_minor_abc_002,aux252b_forex_audjpy_h1,Forex Majors,AUDJPY.r,H1,minor,bullish,candidate_abc,abc,2,5,2026-01-13 01:00:00,2026-01-14 07:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\029_abc_aux252b_forex_audjpy_h1_minor_abc_002.png,29
abc_aux252b_metals_xagusd_h1_minor_abc_005,abc,candidate_counts,aux252b_metals_xagusd_h1_minor_abc_005,aux252b_metals_xagusd_h1,Metals,XAGUSD.r,H1,minor,bullish,candidate_abc,abc,5,8,2026-01-13 01:00:00,2026-01-14 15:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\030_abc_aux252b_metals_xagusd_h1_minor_abc_005.png,30
abc_aux252b_index_aus200_h1_minor_abc_003,abc,candidate_counts,aux252b_index_aus200_h1_minor_abc_003,aux252b_index_aus200_h1,Index,AUS200,H1,minor,bullish,candidate_abc,abc,3,6,2026-01-07 07:00:00,2026-01-13 04:00:00,basic ABC constraints satisfied,ambiguous_but_interesting,visually_good_impulse|visually_good_partial_123|visually_good_abc|ambiguous_but_interesting|too_noisy|too_micro|too_coarse|false_candidate|hard_invalid_correct,charts\abc\031_abc_aux252b_index_aus200_h1_minor_abc_003.png,31
