phase,table,path,exists,rows,columns,key_columns,contains_image_paths,image_ref_count,missing_image_ref_count,contains_h4_d1,contains_h1_h4,contains_abc_partial_negative,dataset_role,legacy_status
2.5.0,guided_context_candidates.csv,artifacts\wavecount\phase2_5_0_guided_context_score_2026-05-24\tables\guided_context_candidates.csv,True,137,67,source_phase|source_candidate_id|candidate_id|structure_type|review_category|group|symbol|timeframe|swing_degree|direction|timeframe_policy|degree_policy,True,357,0,True,True,True,principal_context,current_input
2.5.0,guided_quality_summary.csv,artifacts\wavecount\phase2_5_0_guided_context_score_2026-05-24\tables\guided_quality_summary.csv,True,29,3,metric|value|count,False,0,0,False,False,False,summary,current_input
2.5.0,ewo_role_context.csv,artifacts\wavecount\phase2_5_0_guided_context_score_2026-05-24\tables\ewo_role_context.csv,True,137,10,candidate_id|structure_type|timeframe_policy|swing_degree|ewo_wave_role_label|ewo_role_support|ewo_role_reasons|ewo_role_penalty|guided_quality_bucket|chart_path,True,137,0,False,False,True,diagnostic_ewo,current_input
2.5.0,ema_htf_context_policy.csv,artifacts\wavecount\phase2_5_0_guided_context_score_2026-05-24\tables\ema_htf_context_policy.csv,True,137,11,candidate_id|structure_type|timeframe_policy|trend_context_label|htf_ltf_alignment_label|ema_context_label|ema_context_score_delta|htf_context_score_delta|context_must_not_rescue_bad_count|guided_quality_bucket|chart_path,True,137,0,False,False,True,diagnostic_context,current_input
2.5.0,phase251_search_readiness.csv,artifacts\wavecount\phase2_5_0_guided_context_score_2026-05-24\tables\phase251_search_readiness.csv,True,137,10,candidate_id|structure_type|timeframe_policy|swing_degree|guided_quality_score|guided_quality_bucket|ready_for_phase251_search|phase251_reason|suggested_next_search_mode|chart_path,True,137,0,False,False,True,readiness,current_input
2.5.1,guided_impulse_profile_matches.csv,artifacts\wavecount\phase2_5_1_guided_impulse_profile_2026-05-24\tables\guided_impulse_profile_matches.csv,True,137,75,source_phase|source_candidate_id|candidate_id|structure_type|review_category|group|symbol|timeframe|swing_degree|direction|timeframe_policy|degree_policy,True,357,0,True,True,True,profile_application,current_input
2.5.1,guided_impulse_near_misses.csv,artifacts\wavecount\phase2_5_1_guided_impulse_profile_2026-05-24\tables\guided_impulse_near_misses.csv,True,13,75,source_phase|source_candidate_id|candidate_id|structure_type|review_category|group|symbol|timeframe|swing_degree|direction|timeframe_policy|degree_policy,True,33,0,True,True,False,profile_near_miss,current_input
2.5.1,guided_impulse_exclusions_check.csv,artifacts\wavecount\phase2_5_1_guided_impulse_profile_2026-05-24\tables\guided_impulse_exclusions_check.csv,True,74,75,source_phase|source_candidate_id|candidate_id|structure_type|review_category|group|symbol|timeframe|swing_degree|direction|timeframe_policy|degree_policy,True,197,0,True,True,True,profile_exclusion,current_input
2.5.2,guided_impulse_expanded_candidates.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\guided_impulse_expanded_candidates.csv,True,54,67,candidate_id|review_category|source_table|source_id|example_id|group|symbol|timeframe|swing_degree|direction|diagnostic_status|pattern_type,True,270,0,True,False,False,principal_h4_d1,current_input
2.5.2,guided_impulse_expanded_matches.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\guided_impulse_expanded_matches.csv,True,3,67,candidate_id|review_category|source_table|source_id|example_id|group|symbol|timeframe|swing_degree|direction|diagnostic_status|pattern_type,True,15,0,True,False,False,principal_h4_d1,current_input
2.5.2,guided_impulse_expanded_near_misses.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\guided_impulse_expanded_near_misses.csv,True,9,67,candidate_id|review_category|source_table|source_id|example_id|group|symbol|timeframe|swing_degree|direction|diagnostic_status|pattern_type,True,45,0,True,False,False,principal_h4_d1,current_input
2.5.2,guided_impulse_expanded_negatives.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\guided_impulse_expanded_negatives.csv,True,42,67,candidate_id|review_category|source_table|source_id|example_id|group|symbol|timeframe|swing_degree|direction|diagnostic_status|pattern_type,True,210,0,True,False,False,principal_h4_d1,current_input
2.5.2,visual_expansion_review.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\visual_expansion_review.csv,True,54,67,candidate_id|review_category|source_table|source_id|example_id|group|symbol|timeframe|swing_degree|direction|diagnostic_status|pattern_type,True,270,0,True,False,False,principal_h4_d1_review,current_input
2.5.2,ewo_expansion_review.csv,artifacts\wavecount\phase2_5_2_guided_impulse_expansion_2026-05-24\tables\ewo_expansion_review.csv,True,4,3,ewo_helpfulness|matches_guided_impulse_profile|case_count,False,0,0,False,False,False,summary_ewo,current_input
