candidate_id,source_scope,symbol,timeframe,swing_degree,review_category,start_time,end_time,visible_window_range,count_window_range,count_move_abs,prominence_vs_window,move_prominence_vs_window,count_bars,visible_window_bars,duration_vs_window,relative_structure_size,scale_fit_label,scale_notes,chart_path,source_table,source_id,example_id,group,direction,diagnostic_status,pattern_type,start_pivot_id,end_pivot_id,failure_reasons,suggested_initial_label,review_options,candidate_order,trend_context_label,context_score,context_reason,ltf_direction_match,htf_direction_match,ltf_direction_conflict,htf_direction_conflict,transition_matches_direction,price_band_matches_direction,momentum_matches_direction,context_at_start,context_at_end,htf_context_at_end,end_ltf_trend_state,end_ltf_ema_alignment,end_ltf_price_vs_ema_band,end_ltf_transition_state,end_ltf_ewo_5_35,end_ltf_ewo_5_35_slope,end_ltf_ewo_5_35_direction,htf_timeframe,htf_context_source_time,htf_trend_state,htf_ema_alignment,htf_price_vs_ema_band,htf_transition_state,htf_lookahead_safe,context_chart_path,source_count_chart_path,source_context_chart_path,matches_guided_impulse_profile,guided_profile_match_score,guided_profile_reasons,guided_profile_failures,guided_profile_critical_failures,near_miss_reason,visual_expansion_status,visual_quality_score,ewo_helpfulness,ema_htf_helpfulness,profile_decision_after_visual_review,visual_notes,phase253_candidate_action,phase253_reason,should_enter_visual_gallery,reviewed_chart_path,source_from
impulse_aux252b_forex_audjpy_h1_minor_impulse_007,h1_h4,AUDJPY.r,H1,minor,impulse,2026-01-15 11:00:00,2026-01-19 01:00:00,8.74600000000001,1.1159999999999997,0.6869999999999976,0.127601,0.07855,39.0,1100.0,0.035455,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.128; duration=0.035; degree=minor; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\001_impulse_aux252b_forex_audjpy_h1_minor_impulse_007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_metals_xagusd_h1_minor_impulse_005,h1_h4,XAGUSD.r,H1,minor,impulse,2026-01-13 01:00:00,2026-01-15 01:00:00,57.56700000000001,10.372,7.853999999999999,0.180173,0.136432,47.0,1100.0,0.042727,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.180; duration=0.043; degree=minor; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\002_impulse_aux252b_metals_xagusd_h1_minor_impulse_005.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_index_aus200_h1_minor_impulse_014,h1_h4,AUS200,H1,minor,impulse,2026-01-16 04:00:00,2026-01-21 15:00:00,776.0,182.29999999999927,161.29999999999927,0.234923,0.207861,78.0,1100.0,0.070909,medium_small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.235; duration=0.071; degree=minor; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\003_impulse_aux252b_index_aus200_h1_minor_impulse_014.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_forex_audjpy_h1_minor_impulse_016,h1_h4,AUDJPY.r,H1,minor,impulse,2026-01-20 15:00:00,2026-01-22 09:00:00,8.74600000000001,2.108000000000004,1.793999999999997,0.241024,0.205122,43.0,1100.0,0.039091,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.241; duration=0.039; degree=minor; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\004_impulse_aux252b_forex_audjpy_h1_minor_impulse_016.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016,h1_h4,AUDJPY.r,H1,intermediate,impulse,2026-01-27 15:00:00,2026-01-30 17:00:00,8.74600000000001,2.2689999999999912,1.6059999999999943,0.259433,0.183627,75.0,1100.0,0.068182,medium_small,ambiguous_scale,ambiguous_scale: prominence=0.259; duration=0.068; degree=intermediate; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\005_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_016.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036,h1_h4,XAGUSD.r,H1,intermediate,impulse,2026-02-16 11:00:00,2026-02-18 01:00:00,57.56700000000001,5.378999999999991,4.608999999999995,0.093439,0.080063,35.0,1100.0,0.031818,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.093; duration=0.032; degree=intermediate; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\006_impulse_aux252b_metals_xagusd_h1_intermediate_impulse_036.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_index_aus200_h1_intermediate_impulse_007,h1_h4,AUS200,H1,intermediate,impulse,2026-01-13 17:00:00,2026-01-16 04:00:00,776.0,135.89999999999964,92.39999999999964,0.175129,0.119072,54.0,1100.0,0.049091,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.175; duration=0.049; degree=intermediate; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\007_impulse_aux252b_index_aus200_h1_intermediate_impulse_007.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022,h1_h4,AUDJPY.r,H1,intermediate,impulse,2026-02-02 08:00:00,2026-02-04 14:00:00,8.74600000000001,3.331000000000003,3.0729999999999933,0.38086,0.351361,55.0,1100.0,0.05,small,better_as_lower_tf_substructure,better_as_lower_tf_substructure: prominence=0.381; duration=0.050; degree=intermediate; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\008_impulse_aux252b_forex_audjpy_h1_intermediate_impulse_022.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_forex_audjpy_h1_major_impulse_006,h1_h4,AUDJPY.r,H1,major,impulse,2026-01-26 13:00:00,2026-01-30 17:00:00,8.74600000000001,2.510999999999996,1.6310000000000002,0.287103,0.186485,101.0,1100.0,0.091818,medium_small,ambiguous_scale,ambiguous_scale: prominence=0.287; duration=0.092; degree=major; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\009_impulse_aux252b_forex_audjpy_h1_major_impulse_006.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_index_aus200_h1_major_impulse_028,h1_h4,AUS200,H1,major,impulse,2026-02-27 11:00:00,2026-03-05 21:00:00,776.0,480.2999999999993,441.2999999999993,0.618943,0.568686,99.0,1100.0,0.09,medium_small,ambiguous_scale,ambiguous_scale: prominence=0.619; duration=0.090; degree=major; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\011_impulse_aux252b_index_aus200_h1_major_impulse_028.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impulse_aux252b_forex_audjpy_h1_major_impulse_017,h1_h4,AUDJPY.r,H1,major,impulse,2026-02-09 01:00:00,2026-02-12 18:00:00,8.74600000000001,2.812000000000012,2.277000000000001,0.321518,0.260348,90.0,1100.0,0.081818,medium_small,ambiguous_scale,ambiguous_scale: prominence=0.322; duration=0.082; degree=major; category=impulse,artifacts\wavecount\phase2_5_2b_h1_h4_aux_expansion_2026-05-24\diagnostic_phase2_4_h1_h4_aux\charts\impulses\012_impulse_aux252b_forex_audjpy_h1_major_impulse_017.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
