phase,legacy_candidate_id,legacy_source_id,legacy_chart_path,legacy_suggested_label,matched_fixed_count_ids,matched_fixed_count_id_count,problem,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,first_pivot_extreme_time,last_pivot_extreme_time,last_structural_detected_at,plot_ready
phase2_3_h4_legacy,abc_forex_audjpy_h4_abc_002,forex_audjpy_h4_abc_002,charts\abc\025_abc_forex_audjpy_h4_abc_002.png,visually_good_abc,forex_audjpy_h4_intermediate_abc_002|forex_audjpy_h4_major_abc_002|forex_audjpy_h4_minor_abc_002,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-10 08:00:00,2025-12-17 00:00:00,2026-01-02 12:00:00,False
phase2_3_h4_legacy,abc_metals_xagusd_h4_abc_003,metals_xagusd_h4_abc_003,charts\abc\026_abc_metals_xagusd_h4_abc_003.png,visually_good_abc,metals_xagusd_h4_intermediate_abc_003|metals_xagusd_h4_major_abc_003|metals_xagusd_h4_minor_abc_003,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-19 04:00:00,2025-12-24 00:00:00,2026-01-21 00:00:00,False
phase2_3_h4_legacy,abc_index_aus200_h4_abc_006,index_aus200_h4_abc_006,charts\abc\027_abc_index_aus200_h4_abc_006.png,visually_good_abc,index_aus200_h4_intermediate_abc_006|index_aus200_h4_major_abc_006|index_aus200_h4_minor_abc_006,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-23 12:00:00,2026-01-02 16:00:00,2026-01-08 04:00:00,False
phase2_3_h4_legacy,abc_forex_audjpy_h4_abc_005,forex_audjpy_h4_abc_005,charts\abc\028_abc_forex_audjpy_h4_abc_005.png,visually_good_abc,forex_audjpy_h4_intermediate_abc_005|forex_audjpy_h4_major_abc_005|forex_audjpy_h4_minor_abc_005,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-17 00:00:00,2025-12-22 08:00:00,2026-01-23 20:00:00,False
phase2_3_h4_legacy,abc_index_aus200_h4_abc_005,index_aus200_h4_abc_005,charts\abc\029_abc_index_aus200_h4_abc_005.png,visually_good_abc,index_aus200_h4_intermediate_abc_005|index_aus200_h4_major_abc_005|index_aus200_h4_minor_abc_005,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-18 00:00:00,2025-12-23 12:00:00,2026-01-06 12:00:00,False
phase2_3_h4_legacy,abc_forex_audjpy_h4_abc_009,forex_audjpy_h4_abc_009,charts\abc\030_abc_forex_audjpy_h4_abc_009.png,visually_good_abc,forex_audjpy_h4_intermediate_abc_009|forex_audjpy_h4_major_abc_009|forex_audjpy_h4_minor_abc_009,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2026-01-08 08:00:00,2025-12-29 04:00:00,2026-02-09 12:00:00,False
phase2_3_h4_legacy,abc_forex_eurjpy_h4_abc_004,forex_eurjpy_h4_abc_004,charts\abc\031_abc_forex_eurjpy_h4_abc_004.png,visually_good_abc,forex_eurjpy_h4_intermediate_abc_004|forex_eurjpy_h4_major_abc_004|forex_eurjpy_h4_minor_abc_004,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-17 00:00:00,2025-12-22 08:00:00,2026-01-14 20:00:00,False
phase2_3_h4_legacy,abc_forex_eurusd_h4_abc_002,forex_eurusd_h4_abc_002,charts\abc\032_abc_forex_eurusd_h4_abc_002.png,visually_good_abc,forex_eurusd_h4_intermediate_abc_002|forex_eurusd_h4_major_abc_002|forex_eurusd_h4_minor_abc_002,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-09 16:00:00,2025-12-16 16:00:00,2026-01-13 00:00:00,False
phase2_3_h4_legacy,abc_forex_audjpy_h4_abc_003,forex_audjpy_h4_abc_003,charts\abc\033_abc_forex_audjpy_h4_abc_003.png,visually_good_abc,forex_audjpy_h4_intermediate_abc_003|forex_audjpy_h4_major_abc_003|forex_audjpy_h4_minor_abc_003,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2025-12-11 16:00:00,2025-12-18 08:00:00,2026-01-14 16:00:00,False
phase2_3_h4_legacy,abc_forex_audjpy_h4_abc_013,forex_audjpy_h4_abc_013,charts\abc\034_abc_forex_audjpy_h4_abc_013.png,visually_good_abc,forex_audjpy_h4_intermediate_abc_013|forex_audjpy_h4_major_abc_013|forex_audjpy_h4_minor_abc_013,3,legacy_count_id_matched_multiple_swing_degrees,12,0|0|0|A|A|A|B|B|B|C|C|C,0|0|0|1|1|1|2|2|2|3|3|3,False,False,2026-01-26 12:00:00,2026-01-07 04:00:00,2026-02-26 08:00:00,False
