phase,candidate_id,source_id,example_id,symbol,timeframe,swing_degree,diagnostic_status,suggested_initial_label,reason,point_count,labels,orders,pivot_extreme_time_strictly_increasing,structural_detected_at_non_decreasing,first_pivot_extreme_time,last_pivot_extreme_time,last_structural_detected_at,plot_ready,change_type
phase2_3_h4_fixed,abc_forex_audjpy_h4_intermediate_abc_002,forex_audjpy_h4_intermediate_abc_002,forex_audjpy_h4,AUDJPY.r,H4,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-10 08:00:00,2025-12-17 00:00:00,2025-12-17 12:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4_intermediate_abc_003,metals_xagusd_h4,XAGUSD.r,H4,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-19 04:00:00,2025-12-29 00:00:00,2025-12-29 12:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_index_aus200_h4_intermediate_abc_006,index_aus200_h4_intermediate_abc_006,index_aus200_h4,AUS200,H4,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-23 12:00:00,2026-01-07 16:00:00,2026-01-08 04:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4_intermediate_abc_005,forex_audjpy_h4,AUDJPY.r,H4,intermediate,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-17 00:00:00,2026-01-07 04:00:00,2026-01-07 16:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_forex_audjpy_h4_minor_abc_002,forex_audjpy_h4_minor_abc_002,forex_audjpy_h4,AUDJPY.r,H4,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-10 08:00:00,2025-12-17 00:00:00,2025-12-17 12:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_metals_xagusd_h4_minor_abc_003,metals_xagusd_h4_minor_abc_003,metals_xagusd_h4,XAGUSD.r,H4,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-19 04:00:00,2025-12-24 00:00:00,2025-12-24 12:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_index_aus200_h4_minor_abc_005,index_aus200_h4_minor_abc_005,index_aus200_h4,AUS200,H4,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-18 00:00:00,2025-12-23 12:00:00,2025-12-24 00:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_forex_audjpy_h4_minor_abc_005,forex_audjpy_h4_minor_abc_005,forex_audjpy_h4,AUDJPY.r,H4,minor,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-17 00:00:00,2025-12-22 08:00:00,2025-12-22 20:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_forex_audjpy_h4_major_abc_003,forex_audjpy_h4_major_abc_003,forex_audjpy_h4,AUDJPY.r,H4,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-17 00:00:00,2026-01-14 04:00:00,2026-01-14 16:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
phase2_3_h4_fixed,abc_metals_xagusd_h4_major_abc_003,metals_xagusd_h4_major_abc_003,metals_xagusd_h4,XAGUSD.r,H4,major,candidate_abc,ambiguous_but_interesting,basic ABC constraints satisfied,4,0|A|B|C,0|1|2|3,True,True,2025-12-31 20:00:00,2026-01-20 12:00:00,2026-01-21 00:00:00,True,abc_label_downgraded_from_visually_good_to_manual_review
