file_name,current_path,category,line_count,tests_associated,future_group_proposal,move_now,safe_to_move_without_import_rewrite,recommendation
__init__.py,backtests\wavecount\__init__.py,package,92,,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_abc_quality_audit.py,backtests\wavecount\build_wavecount_abc_quality_audit.py,audit/builder,911,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_context_quality_audit.py,backtests\wavecount\build_wavecount_context_quality_audit.py,audit/builder,1155,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_contextual_corrections_audit.py,backtests\wavecount\build_wavecount_contextual_corrections_audit.py,audit/builder,636,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_degree_calibration_audit.py,backtests\wavecount\build_wavecount_degree_calibration_audit.py,audit/builder,512,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_descriptive_stats.py,backtests\wavecount\build_wavecount_descriptive_stats.py,artifact builder,926,test_wavecount_descriptive_stats.py,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_global_audit.py,backtests\wavecount\build_wavecount_global_audit.py,audit/builder,526,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_guided_context_score.py,backtests\wavecount\build_wavecount_guided_context_score.py,artifact builder,1025,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_guided_impulse_expansion.py,backtests\wavecount\build_wavecount_guided_impulse_expansion.py,artifact builder,689,test_wavecount_guided_impulse_expansion.py,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_guided_impulse_profile.py,backtests\wavecount\build_wavecount_guided_impulse_profile.py,artifact builder,513,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_h1_h4_aux_expansion.py,backtests\wavecount\build_wavecount_h1_h4_aux_expansion.py,artifact builder,650,test_wavecount_h1_h4_aux_expansion.py,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_h4_d1_visual_closure.py,backtests\wavecount\build_wavecount_h4_d1_visual_closure.py,audit/builder,898,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_image_indexes.py,backtests\wavecount\build_wavecount_image_indexes.py,artifact builder,278,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_manual_feedback_h1_m30.py,backtests\wavecount\build_wavecount_manual_feedback_h1_m30.py,audit/builder,426,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_partial123.py,backtests\wavecount\build_wavecount_partial123.py,artifact builder,431,test_wavecount_partial123.py,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_partial123_manual_update.py,backtests\wavecount\build_wavecount_partial123_manual_update.py,artifact builder,167,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_phase25_readiness.py,backtests\wavecount\build_wavecount_phase25_readiness.py,audit/builder,980,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_reorg_plan.py,backtests\wavecount\build_wavecount_reorg_plan.py,audit/builder,742,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_wave5_endpoint.py,backtests\wavecount\build_wavecount_wave5_endpoint.py,artifact builder,446,test_wavecount_wave5_endpoint.py,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
build_wavecount_wave5_interpretation_update.py,backtests\wavecount\build_wavecount_wave5_interpretation_update.py,artifact builder,249,,backtests/wavecount/builders_or_audits/,False,False,do not move code in first migration; imports/tests are stable
wavecount_abc_fix.py,backtests\wavecount\wavecount_abc_fix.py,fix/diagnostic,480,,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_compressed_reaudit.py,backtests\wavecount\wavecount_compressed_reaudit.py,fix/diagnostic,390,,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_config.py,backtests\wavecount\wavecount_config.py,core logic,37,,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_context.py,backtests\wavecount\wavecount_context.py,core logic,435,test_wavecount_context.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_context_gallery.py,backtests\wavecount\wavecount_context_gallery.py,gallery,398,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_context_visual_audit.py,backtests\wavecount\wavecount_context_visual_audit.py,utility/other,412,,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_counts.py,backtests\wavecount\wavecount_counts.py,core logic,594,test_wavecount_counts.py|test_wavecount_counts_review.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_counts_gallery.py,backtests\wavecount\wavecount_counts_gallery.py,gallery,397,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_counts_review.py,backtests\wavecount\wavecount_counts_review.py,utility/other,135,test_wavecount_counts_review.py,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_counts_review_gallery.py,backtests\wavecount\wavecount_counts_review_gallery.py,gallery,277,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_degrees.py,backtests\wavecount\wavecount_degrees.py,core logic,141,test_wavecount_degrees.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_degrees_gallery.py,backtests\wavecount\wavecount_degrees_gallery.py,gallery,248,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_gallery.py,backtests\wavecount\wavecount_gallery.py,gallery,493,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_h4_d1_gallery.py,backtests\wavecount\wavecount_h4_d1_gallery.py,gallery,105,test_wavecount_h4_d1_gallery.py,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_h4_d1_visual_audit.py,backtests\wavecount\wavecount_h4_d1_visual_audit.py,utility/other,425,,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_impulse_diagnostics.py,backtests\wavecount\wavecount_impulse_diagnostics.py,utility/other,384,test_wavecount_impulse_diagnostics.py,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_impulse_diagnostics_gallery.py,backtests\wavecount\wavecount_impulse_diagnostics_gallery.py,gallery,357,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_partial123.py,backtests\wavecount\wavecount_partial123.py,fix/diagnostic,318,test_wavecount_partial123.py,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
wavecount_pivots.py,backtests\wavecount\wavecount_pivots.py,core logic,390,test_wavecount_pivots.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_plotting.py,backtests\wavecount\wavecount_plotting.py,core logic,58,test_wavecount_plotting.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_structure.py,backtests\wavecount\wavecount_structure.py,core logic,322,test_wavecount_structure.py,backtests/wavecount/core/,False,False,do not move code in first migration; imports/tests are stable
wavecount_structure_gallery.py,backtests\wavecount\wavecount_structure_gallery.py,gallery,283,,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_visual_review_gallery.py,backtests\wavecount\wavecount_visual_review_gallery.py,gallery,716,test_wavecount_visual_review_gallery.py,backtests/wavecount/galleries/,False,False,do not move code in first migration; imports/tests are stable
wavecount_wave5_endpoint.py,backtests\wavecount\wavecount_wave5_endpoint.py,fix/diagnostic,276,test_wavecount_wave5_endpoint.py,backtests/wavecount/utils_or_legacy/,False,False,do not move code in first migration; imports/tests are stable
