intent_id,setup_id,symbol,timeframe,check_id,status,decision_if_failed
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,eligible_setup,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,min_quality,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,shadow_triggered,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,triggered_at_present,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,timing_current,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,entry_present,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,sl_present,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,tp_present,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,mt5_snapshot_present,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,no_existing_position,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,no_pending_order,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,sizing_hardened,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,exposure_hardened,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,drawdown_kill_switch,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,no_live_mode,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,no_telegram,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,ai_not_approval,pass,
e62a95b6bb5307eb,fx_macd_ok,EURUSD.r,H1,sender_not_available,pass,
,fx_macd_late,GBPUSD.r,H1,eligible_setup,pass,
,fx_macd_late,GBPUSD.r,H1,min_quality,pass,
,fx_macd_late,GBPUSD.r,H1,shadow_triggered,pass,
,fx_macd_late,GBPUSD.r,H1,triggered_at_present,pass,
,fx_macd_late,GBPUSD.r,H1,timing_current,fail,blocked_by_late_setup
,fx_macd_late,GBPUSD.r,H1,entry_present,pass,
,fx_macd_late,GBPUSD.r,H1,sl_present,pass,
,fx_macd_late,GBPUSD.r,H1,tp_present,pass,
,fx_macd_late,GBPUSD.r,H1,mt5_snapshot_present,pass,
,fx_macd_late,GBPUSD.r,H1,no_existing_position,pass,
,fx_macd_late,GBPUSD.r,H1,no_pending_order,pass,
,fx_macd_late,GBPUSD.r,H1,sizing_hardened,pass,
,fx_macd_late,GBPUSD.r,H1,exposure_hardened,pass,
,fx_macd_late,GBPUSD.r,H1,drawdown_kill_switch,pass,
,fx_macd_late,GBPUSD.r,H1,no_live_mode,pass,
,fx_macd_late,GBPUSD.r,H1,no_telegram,pass,
,fx_macd_late,GBPUSD.r,H1,ai_not_approval,pass,
,fx_macd_late,GBPUSD.r,H1,sender_not_available,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,eligible_setup,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,min_quality,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,shadow_triggered,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,triggered_at_present,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,timing_current,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,entry_present,pass,
fc5c6986b434e767,fx_fib_ok,XAUUSD.r,H1,sl_present,pass,
